公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別
2330 台積電,2008/12/31,1,1005.0,140.0,110.0,100.0,95.0,2121.14,,0.11,18.14,33.31,2.27,-8.0,-8.0,3.0,3218.0,24
2331 精英,2008/12/31,5,643.0,140.0,2.0,91.0,86.0,22.8,,0.23,1.14,0.1,4.19,0.0,-10.0,20.0,898.0,25
2332 友訊,2008/12/31,4,691.0,140.0,37.0,93.0,23.0,-5.31,+,0.05,4.52,5.48,3.48,-5.0,5.0,9.0,331.0,27
2337 旺宏,2008/12/31,4,857.0,140.0,84.0,100.0,26.0,88.63,,0.41,11.01,17.88,3.18,-4.0,22.0,7.0,245.0,24
2338 光罩,2008/12/31,4,527.0,36.0,34.0,100.0,54.0,9.61,,1.16,3.83,8.58,2.43,2.0,7.0,8.0,29.0,24
2340 光磊,2008/12/31,5,516.0,68.0,35.0,83.0,24.0,10.59,,1.42,3.8,8.01,3.5,-7.0,1.0,53.0,71.0,26
2344 華邦電,2008/12/31,5,472.0,140.0,-20.0,59.0,74.0,16.15,,3.92,-8.54,-26.7,3.52,-17.0,0.0,80.0,256.0,24
2348 海悅,2008/12/31,9,-207.0,4.0,-18.0,-82.0,85.0,-0.59,,4.06,-5.21,-7.09,3.86,32.0,0.0,297.0,7.0,20
2353 宏碁,2008/12/31,3,718.0,140.0,33.0,91.0,66.0,-51.66,+,0.24,4.12,3.04,8.38,0.0,1.0,16.0,5463.0,25
2358 廷鑫,2008/12/31,8,424.0,9.0,8.0,100.0,84.0,-1.03,,0.01,2.32,0.87,0.0,5.0,2.0,0.0,18.0,20
2371 大同,2008/12/31,6,426.0,140.0,-20.0,44.0,73.0,208.03,,2.81,-5.55,-7.77,4.38,4.0,-2.0,117.0,1872.0,5
2376 技嘉,2008/12/31,4,750.0,140.0,31.0,100.0,78.0,26.42,,0.37,5.09,3.26,8.67,0.0,2.0,2.0,491.0,25
2383 台光電,2008/12/31,7,396.0,69.0,13.0,59.0,44.0,-0.1,,2.06,2.9,0.79,5.18,-4.0,-15.0,109.0,89.0,28
2388 威盛,2008/12/31,6,416.0,76.0,-20.0,84.0,71.0,-32.12,,1.44,-18.75,-26.45,3.79,2.0,7.0,54.0,83.0,24
2390 云辰,2008/12/31,7,378.0,17.0,-7.0,97.0,72.0,-0.41,,1.23,-1.16,-7.13,4.25,-3.0,2.0,12.0,13.0,31
2392 正崴,2008/12/31,4,692.0,140.0,38.0,78.0,65.0,28.46,,0.82,5.13,4.35,3.88,-10.0,2.0,55.0,483.0,28
2408 南亞科,2008/12/31,7,133.0,140.0,-20.0,-55.0,79.0,-101.56,,4.52,-26.99,-65.26,2.33,-10.0,-2.0,256.0,369.0,24
2409 友達,2008/12/31,4,715.0,140.0,39.0,75.0,95.0,1320.58,,1.31,3.77,8.99,3.54,-8.0,-7.0,54.0,4239.0,26
2412 中華電,2008/12/31,1,929.0,140.0,84.0,100.0,96.0,920.71,,0.0,10.17,29.07,3.0,-2.0,6.0,0.0,2017.0,27
2419 仲琦,2008/12/31,7,410.0,33.0,26.0,74.0,43.0,5.05,,1.92,3.47,5.1,4.82,-47.0,-20.0,66.0,39.0,27
2429 銘旺科,2008/12/31,D,-766.0,6.0,-20.0,-265.0,78.0,1.16,,2.74,-7.97,2.33,4.92,-20.0,-30.0,4416.0,10.0,28
2438 翔耀,2008/12/31,D,254.0,66.0,-20.0,31.0,90.0,22.9,,2.32,-15.94,-11.88,6.27,2.0,-4.0,125.0,88.0,26
2439 美律,2008/12/31,4,675.0,63.0,60.0,99.0,71.0,16.64,,0.39,9.05,7.27,3.85,1.0,-3.0,16.0,87.0,27
2444 兆勁,2008/12/31,7,329.0,17.0,-3.0,81.0,60.0,-0.28,,0.55,-0.8,-1.54,3.09,14.0,1.0,32.0,24.0,27
2448 晶電,2008/12/31,4,554.0,101.0,16.0,100.0,5.0,27.58,,0.95,0.48,7.36,3.66,15.0,-7.0,10.0,103.0,26
2450 神腦,2008/12/31,4,844.0,91.0,90.0,100.0,94.0,19.4,,0.01,17.67,6.39,22.46,-13.0,-2.0,0.0,221.0,27
2451 創見,2008/12/31,4,854.0,136.0,69.0,100.0,77.0,15.61,,0.08,12.49,6.91,2.17,1.0,10.0,10.0,344.0,24
2461 光群雷,2008/12/31,6,435.0,34.0,23.0,87.0,38.0,6.13,,1.04,2.91,5.78,3.34,12.0,5.0,39.0,35.0,31
2472 立隆電,2008/12/31,7,304.0,38.0,-6.0,80.0,8.0,2.78,,1.26,-2.75,-1.09,2.6,-2.0,6.0,54.0,37.0,28
2474 可成,2008/12/31,4,795.0,131.0,92.0,92.0,-20.0,51.52,,1.47,11.51,25.52,3.05,13.0,16.0,37.0,190.0,31
2475 華映,2008/12/31,D,471.0,140.0,-20.0,56.0,82.0,164.0,,2.89,-6.31,-7.83,4.81,7.0,-6.0,86.0,1185.0,26
2484 希華,2008/12/31,6,387.0,27.0,14.0,90.0,21.0,3.75,,1.68,2.38,4.52,4.4,-4.0,-17.0,33.0,23.0,28
2485 兆赫,2008/12/31,3,844.0,71.0,115.0,100.0,58.0,17.74,,0.08,18.89,18.62,3.64,15.0,10.0,4.0,97.0,27
2486 一詮,2008/12/31,5,631.0,44.0,69.0,100.0,36.0,10.36,,1.1,9.32,10.86,4.03,-5.0,-1.0,43.0,48.0,26
2491 吉祥全,2008/12/31,D,113.0,19.0,-20.0,27.0,55.0,0.83,,9.53,-8.23,-43.42,4.63,21.0,-2.0,64.0,13.0,26
2498 宏達電,2008/12/31,2,1013.0,140.0,120.0,100.0,73.0,372.09,,0.01,28.07,20.74,7.51,-1.0,-3.0,0.0,1524.0,27
2504 國產,2008/12/31,4,569.0,135.0,6.0,78.0,46.0,5.87,,1.17,1.45,3.02,3.23,-6.0,-4.0,60.0,216.0,14
2506 太設,2008/12/31,D,249.0,84.0,3.0,-7.0,94.0,2.58,,4.94,1.74,1.73,4.67,-2.0,-86.0,174.0,81.0,14
2509 全坤建,2008/12/31,5,541.0,31.0,80.0,55.0,72.0,9.87,,1.93,7.68,19.18,3.32,-6.0,-116.0,53.0,24.0,14
2511 太子,2008/12/31,8,126.0,121.0,-1.0,-65.0,82.0,11.98,,5.49,0.47,0.65,3.06,-56.0,-54.0,257.0,145.0,14
2515 中工,2008/12/31,6,456.0,121.0,1.0,84.0,-40.0,35.97,,0.45,0.87,-0.7,0.98,-19.0,-102.0,36.0,148.0,14
