company,date,c_0,c_1,c_2,c_3,c_4
1452 宏益,2017,0.0,0.0,0.0,0.0,0.0
1453 大將,2008,0.0,0.0,0.0,0.0,0.0
1453 大將,2009,0.0,0.0,0.0,0.0,0.0
1453 大將,2010,0.0,0.0,0.0,0.0,0.0
1453 大將,2011,0.0,0.0,0.0,0.0,0.0
1453 大將,2012,0.0,0.0,0.0,0.0,0.0
1453 大將,2013,0.0,0.0,0.0,0.0,0.0
1453 大將,2014,0.0,0.0,0.0,0.0,0.0
1453 大將,2015,0.0,0.0,0.0,0.0,0.0
1453 大將,2016,0.0,0.0,0.0,0.0,0.0
1453 大將,2017,2.0,6.656437077707198e-35,1.88064558133825e-24,6.978885854014178e-35,2.031281100103539e-34
1456 怡華,2008,0.0,0.0,0.0,0.0,0.0
1456 怡華,2009,0.0,0.0,0.0,0.0,0.0
1456 怡華,2010,0.0,0.0,0.0,0.0,0.0
1456 怡華,2011,1.0001468658447266,1.0,0.8158431649208069,9.7175219260226e-13,0.18400998413562772
1456 怡華,2012,2.8542733192443848,8.106628432771879e-13,0.0010139712831005454,1.124690082666464e-16,5.144712448120117
1456 怡華,2013,0.0,0.0,0.0,0.0,0.0
1456 怡華,2014,0.0,0.0,0.0,0.0,0.0
1456 怡華,2015,0.0,0.0,0.0,0.0,0.0
1456 怡華,2016,0.0,0.0,0.0,0.0,0.0
1456 怡華,2017,0.0,0.0,0.0,0.0,0.0
1457 宜進,2008,0.0,0.0,0.0,0.0,0.0
1457 宜進,2009,0.0,0.0,0.0,0.0,0.0
1457 宜進,2010,0.0,0.0,0.0,0.0,0.0
1457 宜進,2011,0.0,0.0,0.0,0.0,0.0
1457 宜進,2012,0.0,0.0,0.0,0.0,0.0
1457 宜進,2013,4.0,1.4014045823669064e-22,1.0861767353257298e-17,1.9976110106167626e-28,1.0
1457 宜進,2014,4.000812530517578,1.4847126861283755e-09,0.9991272091865541,9.238712572745557e-11,6.040786320227198e-05
1457 宜進,2015,0.0,0.0,0.0,0.0,0.0
1457 宜進,2016,0.0,0.0,0.0,0.0,0.0
1457 宜進,2017,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2008,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2009,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2010,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2011,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2012,4.001461982727052,0.0317053496837616,2.9668307304382324,5.036973220740038e-07,1.033978037412453e-06
1472 三洋紡,2013,0.00018350256141275167,2.0837685951846645e-05,0.9997760653495787,1.1043393977061557e-09,1.955990956048481e-05
1472 三洋紡,2014,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2015,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2016,0.0,0.0,0.0,0.0,0.0
1472 三洋紡,2017,0.0,0.0,0.0,0.0,0.0
1475 本盟,2008,0.0,0.0,0.0,0.0,0.0
1475 本盟,2009,0.0,0.0,0.0,0.0,0.0
1475 本盟,2010,9.461092531637404e-08,0.9873787760734558,0.012621764093637466,1.8794782220172087e-18,0.9999992847442628
1475 本盟,2011,0.0,0.0,0.0,0.0,0.0
1475 本盟,2012,0.0,0.0,0.0,0.0,0.0
1475 本盟,2013,0.0,0.0,0.0,0.0,0.0
1475 本盟,2014,0.0,0.0,0.0,0.0,0.0
1475 本盟,2015,0.0,0.0,0.0,0.0,0.0
1475 本盟,2016,0.0,0.0,0.0,0.0,0.0
1475 本盟,2017,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2008,55.998329162597656,7.107782806770048e-08,1.001673698425293,4.38964198323788e-10,1.4534683145939198e-07
1477 聚陽,2009,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2010,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2011,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2012,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2013,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2014,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2015,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2016,0.0,0.0,0.0,0.0,0.0
1477 聚陽,2017,0.0,0.0,0.0,0.0,0.0
1503 士電,2008,0.0,0.0,0.0,0.0,0.0
1503 士電,2009,0.0,0.0,0.0,0.0,0.0
1503 士電,2010,0.0,0.0,0.0,0.0,0.0
1503 士電,2011,0.0,0.0,0.0,0.0,0.0
1503 士電,2012,0.0,0.0,0.0,0.0,0.0
1503 士電,2013,0.0,0.0,0.0,0.0,0.0
1503 士電,2014,0.0,0.0,0.0,0.0,0.0
1503 士電,2015,0.0,0.0,0.0,0.0,0.0
1503 士電,2016,1.0,7.885952472593078e-29,4.2213092025172966e-19,1.85193647801156e-34,1.552438187340966e-23
1503 士電,2017,1.9562175273895264,2.2190584092474095e-10,0.04378248378634453,1.125609039298852e-14,3.2953039408312186e-08
1506 正道,2008,0.0,0.0,0.0,0.0,0.0
1506 正道,2009,0.0,0.0,0.0,0.0,0.0
1506 正道,2010,9.946012496948242,1.8495717110655896e-12,2.006907197937835e-05,1.8376314100909182e-22,0.05396762490272522
1506 正道,2011,6.0022315979003915,0.000165834222570993,1.9971320629119875,2.859645064745564e-06,0.00046776313683949416
1506 正道,2012,0.0,0.0,0.0,0.0,0.0
1506 正道,2013,0.0,0.0,0.0,0.0,0.0
1506 正道,2014,0.0,0.0,0.0,0.0,0.0
1506 正道,2015,0.0,0.0,0.0,0.0,0.0
1506 正道,2016,0.0,0.0,0.0,0.0,0.0
1506 正道,2017,0.0,0.0,0.0,0.0,0.0
1507 永大,2008,0.0,0.0,0.0,0.0,0.0
1507 永大,2009,0.0,0.0,0.0,0.0,0.0
1507 永大,2010,7.998771667480469,3.022174931100949e-14,0.0012285194825381038,1.4815522763596422e-17,4.717190180136832e-12
1507 永大,2011,17.998546600341797,8.175607746352398e-09,1.0014523267745972,6.617719339099133e-14,2.6109876216651173e-07
1507 永大,2012,0.0,0.0,0.0,0.0,0.0
1507 永大,2013,0.0,0.0,0.0,0.0,0.0
1507 永大,2014,0.0,0.0,0.0,0.0,0.0
1507 永大,2015,0.0,0.0,0.0,0.0,0.0
1507 永大,2016,0.0,0.0,0.0,0.0,0.0
1507 永大,2017,0.0,0.0,0.0,0.0,0.0
1513 中興電,2008,0.0,0.0,0.0,0.0,0.0
1513 中興電,2009,0.0,0.0,0.0,0.0,0.0
1513 中興電,2010,0.0,0.0,0.0,0.0,0.0
1513 中興電,2011,0.0,0.0,0.0,0.0,0.0
1513 中興電,2012,0.0,0.0,0.0,0.0,0.0
1513 中興電,2013,3.369575023651123,6.096639140196203e-07,1.6301767826080322,1.5103696071605558e-08,0.0002476895169820636
1513 中興電,2014,1.0000014305114746,0.00017830068827606738,0.9998206496238708,2.4203350434959253e-10,0.9999996423721312
1513 中興電,2015,0.0,0.0,0.0,0.0,0.0
1513 中興電,2016,0.0,0.0,0.0,0.0,0.0
1513 中興電,2017,0.0,0.0,0.0,0.0,0.0
1515 力山,2008,0.0,0.0,0.0,0.0,0.0
1515 力山,2009,0.0,0.0,0.0,0.0,0.0
1515 力山,2010,0.0,0.0,0.0,0.0,0.0
1515 力山,2011,0.0,0.0,0.0,0.0,0.0
1515 力山,2012,0.0,0.0,0.0,0.0,0.0
1515 力山,2013,0.0,0.0,0.0,0.0,0.0
1515 力山,2014,0.0,0.0,0.0,0.0,0.0
1515 力山,2015,0.0,0.0,0.0,0.0,0.0
1515 力山,2016,2.0,6.949454684223814e-17,1.0745271339374083e-09,3.270168802631933e-18,1.0358431424677352e-16
1515 力山,2017,4.000007629394531,4.1107210080326695e-08,0.9999920129776,5.503208633694974e-15,2.668483767287455e-10
1516 川飛,2008,0.0,0.0,0.0,0.0,0.0
1516 川飛,2009,0.0,0.0,0.0,0.0,0.0
1516 川飛,2010,0.0,0.0,0.0,0.0,0.0
1516 川飛,2011,0.0,2.593404142522138e-32,3.755171919330894e-25,1.4094146421387462e-29,1.0
1516 川飛,2012,0.0050695440731942645,8.44254763890601e-15,9.442100434853273e-08,1.4224294294306014e-22,0.9949303269386292
1516 川飛,2013,0.0,0.0,0.0,0.0,0.0
1516 川飛,2014,0.0,0.0,0.0,0.0,0.0
